Bus_No,Bus_type,Pg,Qg,Pl,Ql,Vmag,Delta,Qmin,Qmax,Vr,Vm,Psh,Qsh,Ir,Im,d_Ir_Vr,d_Ir_Vm,d_Im_Vr,d_Im_Vm,d_Ir_Q,d_Im_Q,delta_IR,delta_IM
1,2,0.5282,0.0,0.5635,0.11471806666314277,1.035,0.0,-0.5,0.8,1.035,0.0,-0.0353,-0.11471806666314277,-0.03410628019323672,0.11083871175182877,0.032952927722934025,-0.10709054275539012,-0.10709054275539012,-0.10709054275539012,0.0,-0.9019427056680224,-0.06821256038647344,0.118208300068498
2,1,0.0,0.0,0.5041,0.10393384421825116,1.035,0.0,-0.5,0.8,1.035,0.0,-0.5041,-0.10393384421825116,-0.4870531400966183,0.10041917315773059,0.47058274405470385,-0.09702335570795229,-0.09702335570795229,-0.09702335570795229,0.0,-0.9019427056680224,-0.9741062801932368,0.2008383463154612
3,1,0.0,0.0,0.9342,0.19212775416426256,1.0,0.0,0.0,0.0,1.0,0.0,-0.9342,-0.19212775416426256,-0.9342,0.19212775416426256,0.9342,-0.19212775416426256,-0.19212775416426256,-0.19212775416426256,0.0,-1.0,-1.8684,0.3842555083285251
4,1,0.0,0.0,0.38549999999999995,0.07807717536815087,1.0,0.0,0.0,0.0,1.0,0.0,-0.38549999999999995,-0.07807717536815087,-0.38549999999999995,0.07807717536815087,0.38549999999999995,-0.07807717536815087,-0.07807717536815087,-0.07807717536815087,0.0,-1.0,-0.7709999999999999,0.15615435073630174
5,1,0.0,0.0,0.37070000000000003,0.07311279915803591,1.0,0.0,0.0,0.0,1.0,0.0,-0.37070000000000003,-0.07311279915803591,-0.37070000000000003,0.07311279915803591,0.37070000000000003,-0.07311279915803591,-0.07311279915803591,-0.07311279915803591,0.0,-1.0,-0.7414000000000001,0.14622559831607182
6,1,0.0,0.0,0.7117,0.1463683607778909,1.0,0.0,0.0,0.0,1.0,0.0,-0.7117,-0.1463683607778909,-0.7117,0.1463683607778909,0.7117,-0.1463683607778909,-0.1463683607778909,-0.1463683607778909,0.0,-1.0,-1.4234,0.2927367215557818
7,2,1.0,0.0,0.6524,0.13041312921755802,1.025,0.0,0.0,1.8,1.025,0.0,0.3476,-0.13041312921755802,0.3391219512195122,0.12723232118786149,-0.3308506841165973,-0.1241290938418161,-0.1241290938418161,-0.1241290938418161,0.0,-0.9285994109197488,0.6782439024390244,0.1333630874080975
8,1,0.0,0.0,0.8896999999999999,0.18205314800510472,1.0,0.0,0.0,0.0,1.0,0.0,-0.8896999999999999,-0.18205314800510472,-0.8896999999999999,0.18205314800510472,0.8896999999999999,-0.18205314800510472,-0.18205314800510472,-0.18205314800510472,0.0,-1.0,-1.7793999999999999,0.36410629601020944
9,1,0.0,0.0,0.9045000000000001,0.18601964637291318,1.0,0.0,0.0,0.0,1.0,0.0,-0.9045000000000001,-0.18601964637291318,-0.9045000000000001,0.18601964637291318,0.9045000000000001,-0.18601964637291318,-0.18601964637291318,-0.18601964637291318,0.0,-1.0,-1.8090000000000002,0.37203929274582637
10,1,0.0,0.0,1.0083,0.20684489032568593,1.0,0.0,0.0,0.0,1.0,0.0,-1.0083,-0.20684489032568593,-1.0083,0.20684489032568593,1.0083,-0.20684489032568593,-0.20684489032568593,-0.20684489032568593,0.0,-1.0,-2.0166,0.41368978065137185
11,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
12,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
13,1,0.0,0.0,1.379,0.28073862276570344,1.02,0.0,0.0,2.4,1.02,0.0,-1.379,-0.28073862276570344,-1.3519607843137254,0.27523394388794453,1.3254517493271818,-0.2698371998901417,-0.2698371998901417,-0.2698371998901417,0.0,-0.9423223345470445,-2.7039215686274507,0.5504678877758891
14,2,0.0,0.0,1.0083,0.2026240348084939,0.98,0.0,-0.5,2.0,0.98,0.0,-1.0083,-0.2026240348084939,-1.0288775510204082,0.20675921919234072,1.0498750520616411,-0.2109787950942252,-0.2109787950942252,-0.2109787950942252,0.0,-1.062482469039261,-2.0577551020408165,0.19823395359465568
15,2,0.5424,0.0,1.6459000000000001,0.33248791938827793,1.014,0.0,-0.5,1.1,1.014,0.0,-1.1035000000000001,-0.33248791938827793,-1.0882642998027614,0.32789735639869616,1.0732389544405931,-0.3233701739632112,-0.3233701739632112,-0.3233701739632112,0.0,-0.9591491251527932,-2.176528599605523,0.3368892157922531
16,2,2.8613,0.0,0.519,0.10374680267307268,1.017,0.0,-0.5,0.8,1.017,0.0,2.3423,-0.10374680267307268,2.3031465093412,0.10201258866575486,-2.2646475018104226,-0.10030736348648463,-0.10030736348648463,-0.10030736348648463,0.0,-0.9506860936593905,4.6062930186824,0.10539453476859463
17,1,2.6241000000000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6241000000000003,0.0,2.6241000000000003,0.0,-2.6241000000000003,0.0,0.0,0.0,0.0,-1.0,5.248200000000001,0.0
18,1,3.6873,0.0,1.7349,0.354097904426956,1.05,0.0,-0.5,2.0,1.05,0.0,1.9524,-0.354097904426956,1.8594285714285714,0.3372360994542438,-1.7708843537414967,-0.3211772375754703,-0.3211772375754703,-0.3211772375754703,0.0,-0.8638375985314761,3.718857142857143,0.6744721989084876
19,1,1.4411,0.0,0.9490000000000001,0.19418729623113903,1.0,0.0,0.0,0.0,1.0,0.0,0.4921,-0.19418729623113903,0.4921,0.19418729623113903,-0.4921,-0.19418729623113903,-0.19418729623113903,-0.19418729623113903,0.0,-1.0,0.9842,0.38837459246227807
20,1,1.0356,0.0,0.6673,0.13550104424107098,1.0,0.0,0.0,0.0,1.0,0.0,0.36830000000000007,-0.13550104424107098,0.36830000000000007,0.13550104424107098,-0.36830000000000007,-0.13550104424107098,-0.13550104424107098,-0.13550104424107098,0.0,-1.0,0.7366000000000001,0.27100208848214197
21,3,4.2753,0.0,0.0,0.0,1.05,0.0,-0.5,2.0,1.05,0.0,4.2753,0.0,4.071714285714286,0.0,-3.8778231292517007,0.0,0.0,0.0,0.0,-0.8638375985314761,,
22,1,0.0,0.0,0.0,0.0,1.05,0.0,-0.6,0.96,1.05,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8638375985314761,0.0,0.0
23,2,0.5424,0.0,0.0,0.0,1.05,0.0,-1.25,3.1,1.05,0.0,0.5424,0.0,0.5165714285714286,0.0,-0.49197278911564624,0.0,0.0,0.0,0.0,-0.8638375985314761,1.0331428571428571,0.0
24,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
25,1,0.0,0.0,0.5635,0.11471806666314277,1.035,0.0,-0.5,0.8,1.035,0.0,-0.5635,-0.11471806666314277,-0.5444444444444445,0.11083871175182877,0.5260332796564682,-0.10709054275539012,-0.10709054275539012,-0.10709054275539012,0.0,-0.9019427056680224,-1.088888888888889,0.22167742350365754
26,1,0.0,0.0,0.5041,0.10393384421825116,1.035,0.0,-0.5,0.8,1.035,0.0,-0.5041,-0.10393384421825116,-0.4870531400966183,0.10041917315773059,0.47058274405470385,-0.09702335570795229,-0.09702335570795229,-0.09702335570795229,0.0,-0.9019427056680224,-0.9741062801932368,0.2008383463154612
27,1,0.0,0.0,0.9342,0.19212775416426256,1.0,0.0,0.0,0.0,1.0,0.0,-0.9342,-0.19212775416426256,-0.9342,0.19212775416426256,0.9342,-0.19212775416426256,-0.19212775416426256,-0.19212775416426256,0.0,-1.0,-1.8684,0.3842555083285251
28,1,0.0,0.0,0.38549999999999995,0.07807717536815087,1.0,0.0,0.0,0.0,1.0,0.0,-0.38549999999999995,-0.07807717536815087,-0.38549999999999995,0.07807717536815087,0.38549999999999995,-0.07807717536815087,-0.07807717536815087,-0.07807717536815087,0.0,-1.0,-0.7709999999999999,0.15615435073630174
29,1,0.0,0.0,0.37070000000000003,0.07311279915803591,1.0,0.0,0.0,0.0,1.0,0.0,-0.37070000000000003,-0.07311279915803591,-0.37070000000000003,0.07311279915803591,0.37070000000000003,-0.07311279915803591,-0.07311279915803591,-0.07311279915803591,0.0,-1.0,-0.7414000000000001,0.14622559831607182
30,1,0.0,0.0,0.7117,0.1463683607778909,1.0,0.0,0.0,0.0,1.0,0.0,-0.7117,-0.1463683607778909,-0.7117,0.1463683607778909,0.7117,-0.1463683607778909,-0.1463683607778909,-0.1463683607778909,0.0,-1.0,-1.4234,0.2927367215557818
31,2,0.31329999999999997,0.0,0.6524,0.13041312921755802,1.025,0.0,0.0,1.8,1.025,0.0,-0.3391,-0.13041312921755802,-0.33082926829268294,0.12723232118786149,0.322760261748959,-0.1241290938418161,-0.1241290938418161,-0.1241290938418161,0.0,-0.9285994109197488,-0.6616585365853659,0.1333630874080975
32,1,0.0,0.0,0.8896999999999999,0.18205314800510472,1.0,0.0,0.0,0.0,1.0,0.0,-0.8896999999999999,-0.18205314800510472,-0.8896999999999999,0.18205314800510472,0.8896999999999999,-0.18205314800510472,-0.18205314800510472,-0.18205314800510472,0.0,-1.0,-1.7793999999999999,0.36410629601020944
33,1,0.0,0.0,0.9045000000000001,0.18601964637291318,1.0,0.0,0.0,0.0,1.0,0.0,-0.9045000000000001,-0.18601964637291318,-0.9045000000000001,0.18601964637291318,0.9045000000000001,-0.18601964637291318,-0.18601964637291318,-0.18601964637291318,0.0,-1.0,-1.8090000000000002,0.37203929274582637
34,1,0.0,0.0,1.0083,0.20684489032568593,1.0,0.0,0.0,0.0,1.0,0.0,-1.0083,-0.20684489032568593,-1.0083,0.20684489032568593,1.0083,-0.20684489032568593,-0.20684489032568593,-0.20684489032568593,0.0,-1.0,-2.0166,0.41368978065137185
35,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
36,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
37,2,4.4753,0.0,1.379,0.28073862276570344,1.02,0.0,0.0,2.4,1.02,0.0,3.0963,-0.28073862276570344,3.0355882352941177,0.27523394388794453,-2.9760668973471742,-0.2698371998901417,-0.2698371998901417,-0.2698371998901417,0.0,-0.9423223345470445,6.071176470588235,0.28592161337378935
38,2,0.0,0.0,1.0083,0.2026240348084939,0.98,0.0,-0.5,2.0,0.98,0.0,-1.0083,-0.2026240348084939,-1.0288775510204082,0.20675921919234072,1.0498750520616411,-0.2109787950942252,-0.2109787950942252,-0.2109787950942252,0.0,-1.062482469039261,-2.0577551020408165,0.19823395359465568
39,2,0.5424,0.0,1.6459000000000001,0.33248791938827793,1.014,0.0,-0.5,1.1,1.014,0.0,-1.1035000000000001,-0.33248791938827793,-1.0882642998027614,0.32789735639869616,1.0732389544405931,-0.3233701739632112,-0.3233701739632112,-0.3233701739632112,0.0,-0.9591491251527932,-2.176528599605523,0.3368892157922531
40,2,0.5424,0.0,0.519,0.10374680267307268,1.017,0.0,-0.5,0.8,1.017,0.0,0.023399999999999976,-0.10374680267307268,0.023008849557522103,0.10201258866575486,-0.02262423751968742,-0.10030736348648463,-0.10030736348648463,-0.10030736348648463,0.0,-0.9506860936593905,0.046017699115044206,0.10539453476859463
41,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
42,2,4.0,0.0,1.7349,0.354097904426956,1.05,0.0,-0.5,2.0,1.05,0.0,2.2651,-0.354097904426956,2.157238095238095,0.3372360994542438,-2.054512471655329,-0.3211772375754703,-0.3211772375754703,-0.3211772375754703,0.0,-0.8638375985314761,4.31447619047619,0.36858911550327783
43,1,0.0,0.0,0.9490000000000001,0.19418729623113903,1.0,0.0,0.0,0.0,1.0,0.0,-0.9490000000000001,-0.19418729623113903,-0.9490000000000001,0.19418729623113903,0.9490000000000001,-0.19418729623113903,-0.19418729623113903,-0.19418729623113903,0.0,-1.0,-1.8980000000000001,0.38837459246227807
44,1,0.0,0.0,0.6673,0.13550104424107098,1.0,0.0,0.0,0.0,1.0,0.0,-0.6673,-0.13550104424107098,-0.6673,0.13550104424107098,0.6673,-0.13550104424107098,-0.13550104424107098,-0.13550104424107098,0.0,-1.0,-1.3346,0.27100208848214197
45,2,4.0,0.0,0.0,0.0,1.05,0.0,-0.5,2.0,1.05,0.0,4.0,0.0,3.8095238095238098,0.0,-3.6281179138321997,0.0,0.0,0.0,0.0,-0.8638375985314761,7.6190476190476195,0.0
46,1,0.0,0.0,0.0,0.0,1.05,0.0,-0.6,0.96,1.05,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8638375985314761,0.0,0.0
47,2,0.5424,0.0,0.0,0.0,1.05,0.0,-1.25,3.1,1.05,0.0,0.5424,0.0,0.5165714285714286,0.0,-0.49197278911564624,0.0,0.0,0.0,0.0,-0.8638375985314761,1.0331428571428571,0.0
48,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
49,1,0.0,0.0,0.5635,0.11471806666314277,1.035,0.0,-0.5,0.8,1.035,0.0,-0.5635,-0.11471806666314277,-0.5444444444444445,0.11083871175182877,0.5260332796564682,-0.10709054275539012,-0.10709054275539012,-0.10709054275539012,0.0,-0.9019427056680224,-1.088888888888889,0.22167742350365754
50,1,0.0,0.0,0.5041,0.10393384421825116,1.035,0.0,-0.5,0.8,1.035,0.0,-0.5041,-0.10393384421825116,-0.4870531400966183,0.10041917315773059,0.47058274405470385,-0.09702335570795229,-0.09702335570795229,-0.09702335570795229,0.0,-0.9019427056680224,-0.9741062801932368,0.2008383463154612
51,1,0.0,0.0,0.9342,0.19212775416426256,1.0,0.0,0.0,0.0,1.0,0.0,-0.9342,-0.19212775416426256,-0.9342,0.19212775416426256,0.9342,-0.19212775416426256,-0.19212775416426256,-0.19212775416426256,0.0,-1.0,-1.8684,0.3842555083285251
52,1,0.0,0.0,0.38549999999999995,0.07807717536815087,1.0,0.0,0.0,0.0,1.0,0.0,-0.38549999999999995,-0.07807717536815087,-0.38549999999999995,0.07807717536815087,0.38549999999999995,-0.07807717536815087,-0.07807717536815087,-0.07807717536815087,0.0,-1.0,-0.7709999999999999,0.15615435073630174
53,1,1.9511,0.0,0.37070000000000003,0.07311279915803591,1.0,0.0,0.0,0.0,1.0,0.0,1.5804,-0.07311279915803591,1.5804,0.07311279915803591,-1.5804,-0.07311279915803591,-0.07311279915803591,-0.07311279915803591,0.0,-1.0,3.1608,0.14622559831607182
54,1,0.0,0.0,0.7117,0.1463683607778909,1.0,0.0,0.0,0.0,1.0,0.0,-0.7117,-0.1463683607778909,-0.7117,0.1463683607778909,0.7117,-0.1463683607778909,-0.1463683607778909,-0.1463683607778909,0.0,-1.0,-1.4234,0.2927367215557818
55,2,0.5,0.0,0.6524,0.13041312921755802,1.025,0.0,0.0,1.8,1.025,0.0,-0.15239999999999998,-0.13041312921755802,-0.14868292682926826,0.12723232118786149,0.14505651397977393,-0.1241290938418161,-0.1241290938418161,-0.1241290938418161,0.0,-0.9285994109197488,-0.2973658536585365,0.1333630874080975
56,1,0.5233,0.0,0.8896999999999999,0.18205314800510472,1.0,0.0,0.0,0.0,1.0,0.0,-0.36639999999999995,-0.18205314800510472,-0.36639999999999995,0.18205314800510472,0.36639999999999995,-0.18205314800510472,-0.18205314800510472,-0.18205314800510472,0.0,-1.0,-0.7327999999999999,0.36410629601020944
57,1,0.0,0.0,0.9045000000000001,0.18601964637291318,1.0,0.0,0.0,0.0,1.0,0.0,-0.9045000000000001,-0.18601964637291318,-0.9045000000000001,0.18601964637291318,0.9045000000000001,-0.18601964637291318,-0.18601964637291318,-0.18601964637291318,0.0,-1.0,-1.8090000000000002,0.37203929274582637
58,1,0.0,0.0,1.0083,0.20684489032568593,1.0,0.0,0.0,0.0,1.0,0.0,-1.0083,-0.20684489032568593,-1.0083,0.20684489032568593,1.0083,-0.20684489032568593,-0.20684489032568593,-0.20684489032568593,0.0,-1.0,-2.0166,0.41368978065137185
59,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
60,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
61,2,3.44,0.0,1.379,0.28073862276570344,1.02,0.0,0.0,2.4,1.02,0.0,2.061,-0.28073862276570344,2.0205882352941176,0.27523394388794453,-1.980968858131488,-0.2698371998901417,-0.2698371998901417,-0.2698371998901417,0.0,-0.9423223345470445,4.041176470588235,0.28592161337378935
62,2,0.0,0.0,1.0083,0.2026240348084939,0.98,0.0,-0.5,2.0,0.98,0.0,-1.0083,-0.2026240348084939,-1.0288775510204082,0.20675921919234072,1.0498750520616411,-0.2109787950942252,-0.2109787950942252,-0.2109787950942252,0.0,-1.062482469039261,-2.0577551020408165,0.19823395359465568
63,2,0.5424,0.0,1.6459000000000001,0.33248791938827793,1.014,0.0,-0.5,1.1,1.014,0.0,-1.1035000000000001,-0.33248791938827793,-1.0882642998027614,0.32789735639869616,1.0732389544405931,-0.3233701739632112,-0.3233701739632112,-0.3233701739632112,0.0,-0.9591491251527932,-2.176528599605523,0.3368892157922531
64,2,0.5424,0.0,0.519,0.10374680267307268,1.017,0.0,-0.5,0.8,1.017,0.0,0.023399999999999976,-0.10374680267307268,0.023008849557522103,0.10201258866575486,-0.02262423751968742,-0.10030736348648463,-0.10030736348648463,-0.10030736348648463,0.0,-0.9506860936593905,0.046017699115044206,0.10539453476859463
65,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
66,1,0.0,0.0,1.7349,0.354097904426956,1.05,0.0,-0.5,2.0,1.05,0.0,-1.7349,-0.354097904426956,-1.6522857142857144,0.3372360994542438,1.5736054421768708,-0.3211772375754703,-0.3211772375754703,-0.3211772375754703,0.0,-0.8638375985314761,-3.3045714285714287,0.6744721989084876
67,1,0.0,0.0,0.9490000000000001,0.19418729623113903,1.0,0.0,0.0,0.0,1.0,0.0,-0.9490000000000001,-0.19418729623113903,-0.9490000000000001,0.19418729623113903,0.9490000000000001,-0.19418729623113903,-0.19418729623113903,-0.19418729623113903,0.0,-1.0,-1.8980000000000001,0.38837459246227807
68,1,0.0,0.0,0.6673,0.13550104424107098,1.0,0.0,0.0,0.0,1.0,0.0,-0.6673,-0.13550104424107098,-0.6673,0.13550104424107098,0.6673,-0.13550104424107098,-0.13550104424107098,-0.13550104424107098,0.0,-1.0,-1.3346,0.27100208848214197
69,2,4.0,0.0,0.0,0.0,1.05,0.0,-0.5,2.0,1.05,0.0,4.0,0.0,3.8095238095238098,0.0,-3.6281179138321997,0.0,0.0,0.0,0.0,-0.8638375985314761,7.6190476190476195,0.0
70,1,0.0,0.0,0.0,0.0,1.05,0.0,-0.6,0.96,1.05,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.8638375985314761,0.0,0.0
71,2,0.5424,0.0,0.0,0.0,1.05,0.0,-1.25,3.1,1.05,0.0,0.5424,0.0,0.5165714285714286,0.0,-0.49197278911564624,0.0,0.0,0.0,0.0,-0.8638375985314761,1.0331428571428571,0.0
72,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
73,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
